state,year,informality_rate
Oaxaca,2015,78.5
Oaxaca,2016,77.79
Oaxaca,2017,77.71
Oaxaca,2018,76.9
Oaxaca,2019,76.67
Oaxaca,2020,78.42
Oaxaca,2021,76.6
Oaxaca,2022,76.33
Oaxaca,2023,75.48
Oaxaca,2024,75.12
Oaxaca,2025,74.31
Chiapas,2015,75.71
Chiapas,2016,75.34
Chiapas,2017,75.48
Chiapas,2018,74.73
Chiapas,2019,74.11
Chiapas,2020,76.2
Chiapas,2021,75.48
Chiapas,2022,75.3
Chiapas,2023,74.9
Chiapas,2024,75.22
Chiapas,2025,74.38
Guerrero,2015,77.67
Guerrero,2016,77.14
Guerrero,2017,76.42
Guerrero,2018,75.66
Guerrero,2019,75.15
Guerrero,2020,77.47
Guerrero,2021,75.79
Guerrero,2022,75.62
Guerrero,2023,75.52
Guerrero,2024,75.09
Guerrero,2025,74.87
Puebla,2015,70.18
Puebla,2016,69.35
Puebla,2017,68.71
Puebla,2018,68.66
Puebla,2019,68.3
Puebla,2020,69.99
Puebla,2021,68.82
Puebla,2022,68.49
Puebla,2023,67.96
Puebla,2024,68.05
Puebla,2025,68.03
Hidalgo,2015,67.41
Hidalgo,2016,67.22
Hidalgo,2017,66.98
Hidalgo,2018,67.17
Hidalgo,2019,67.19
Hidalgo,2020,68.85
Hidalgo,2021,68.17
Hidalgo,2022,67.42
Hidalgo,2023,67.04
Hidalgo,2024,67.09
Hidalgo,2025,66.38
Jalisco,2015,48.71
Jalisco,2016,47.86
Jalisco,2017,47.8
Jalisco,2018,47.85
Jalisco,2019,47.67
Jalisco,2020,50.06
Jalisco,2021,48.55
Jalisco,2022,48.52
Jalisco,2023,48.37
Jalisco,2024,48.19
Jalisco,2025,47.86
Nuevo León,2015,37.15
Nuevo León,2016,37.43
Nuevo León,2017,37.12
Nuevo León,2018,37.05
Nuevo León,2019,36.23
Nuevo León,2020,38.41
Nuevo León,2021,37.32
Nuevo León,2022,37.66
Nuevo León,2023,37.78
Nuevo León,2024,37.24
Nuevo León,2025,36.82
Coahuila,2015,35.44
Coahuila,2016,34.56
Coahuila,2017,34.24
Coahuila,2018,33.55
Coahuila,2019,32.8
Coahuila,2020,34.17
Coahuila,2021,33.23
Coahuila,2022,32.49
Coahuila,2023,31.9
Coahuila,2024,31.49
Coahuila,2025,31.68
Baja California,2015,38.2
Baja California,2016,37.86
Baja California,2017,37.65
Baja California,2018,37.85
Baja California,2019,37.98
Baja California,2020,40.36
Baja California,2021,38.81
Baja California,2022,38.42
Baja California,2023,37.97
Baja California,2024,38.18
Baja California,2025,38.48
Ciudad de México,2015,46.79
Ciudad de México,2016,46.11
Ciudad de México,2017,45.5
Ciudad de México,2018,44.89
Ciudad de México,2019,44.6
Ciudad de México,2020,46.63
Ciudad de México,2021,45.06
Ciudad de México,2022,44.17
Ciudad de México,2023,43.79
Ciudad de México,2024,43.35
Ciudad de México,2025,43.16
