anio,trimestre,indicador,regimen,corte,categoria_origen,categoria_destino,valor,ee,n_obs
2005,1,SUBUTIL,tradicional,edad,14 a 19,NA,31.54,0.584,18755
2005,2,SUBUTIL,tradicional,edad,14 a 19,NA,31.15,0.587,18916
2005,3,SUBUTIL,tradicional,edad,14 a 19,NA,31.81,0.586,19583
2005,4,SUBUTIL,tradicional,edad,14 a 19,NA,29.97,0.582,19278
2006,1,SUBUTIL,tradicional,edad,14 a 19,NA,31.53,0.605,18954
2006,2,SUBUTIL,tradicional,edad,14 a 19,NA,30.01,0.601,19071
2006,3,SUBUTIL,tradicional,edad,14 a 19,NA,34.31,0.618,20029
2006,4,SUBUTIL,tradicional,edad,14 a 19,NA,32.31,0.579,19733
2007,1,SUBUTIL,tradicional,edad,14 a 19,NA,34.69,0.637,19621
2007,2,SUBUTIL,tradicional,edad,14 a 19,NA,32.11,0.615,19035
2007,3,SUBUTIL,tradicional,edad,14 a 19,NA,32.68,0.586,19520
2007,4,SUBUTIL,tradicional,edad,14 a 19,NA,31.66,0.568,20774
2008,1,SUBUTIL,tradicional,edad,14 a 19,NA,33.12,0.618,19405
2008,2,SUBUTIL,tradicional,edad,14 a 19,NA,31.68,0.613,19294
2008,3,SUBUTIL,tradicional,edad,14 a 19,NA,33.54,0.609,19687
2008,4,SUBUTIL,tradicional,edad,14 a 19,NA,36.19,0.587,19504
2009,1,SUBUTIL,tradicional,edad,14 a 19,NA,38.45,0.607,18665
2009,2,SUBUTIL,tradicional,edad,14 a 19,NA,39.98,0.672,18528
2009,3,SUBUTIL,tradicional,edad,14 a 19,NA,38.43,0.658,19003
2009,4,SUBUTIL,tradicional,edad,14 a 19,NA,37.47,0.604,19682
2010,1,SUBUTIL,tradicional,edad,14 a 19,NA,38.34,0.599,18393
2010,2,SUBUTIL,tradicional,edad,14 a 19,NA,37.3,0.619,18865
2010,3,SUBUTIL,tradicional,edad,14 a 19,NA,37.18,0.635,18794
2010,4,SUBUTIL,tradicional,edad,14 a 19,NA,38.92,0.619,18085
2011,1,SUBUTIL,tradicional,edad,14 a 19,NA,39.27,0.708,17133
2011,2,SUBUTIL,tradicional,edad,14 a 19,NA,39.48,0.639,17626
2011,3,SUBUTIL,tradicional,edad,14 a 19,NA,39.63,0.61,17974
2011,4,SUBUTIL,tradicional,edad,14 a 19,NA,37.94,0.62,18691
2012,1,SUBUTIL,tradicional,edad,14 a 19,NA,39.24,0.642,17210
2012,2,SUBUTIL,tradicional,edad,14 a 19,NA,37.98,0.636,17800
2012,3,SUBUTIL,tradicional,edad,14 a 19,NA,37.77,0.615,17905
2012,4,SUBUTIL,tradicional,edad,14 a 19,NA,38.11,0.655,16832
2013,1,SUBUTIL,tradicional,edad,14 a 19,NA,40.3,0.646,15888
2013,2,SUBUTIL,tradicional,edad,14 a 19,NA,39.63,0.623,16421
2013,3,SUBUTIL,tradicional,edad,14 a 19,NA,38.95,0.627,16304
2013,4,SUBUTIL,tradicional,edad,14 a 19,NA,39.9,0.613,16954
2014,1,SUBUTIL,tradicional,edad,14 a 19,NA,39.23,0.627,15668
2014,2,SUBUTIL,tradicional,edad,14 a 19,NA,38.96,0.632,15452
2014,3,SUBUTIL,tradicional,edad,14 a 19,NA,38.27,0.617,15938
2014,4,SUBUTIL,tradicional,edad,14 a 19,NA,39.16,0.631,15522
2015,1,SUBUTIL,tradicional,edad,14 a 19,NA,39.69,0.652,14944
2015,2,SUBUTIL,tradicional,edad,14 a 19,NA,38.6,0.64,15119
2015,3,SUBUTIL,tradicional,edad,14 a 19,NA,39.91,0.62,15538
2015,4,SUBUTIL,tradicional,edad,14 a 19,NA,37.86,0.628,15570
2016,1,SUBUTIL,tradicional,edad,14 a 19,NA,38.25,0.662,14408
2016,2,SUBUTIL,tradicional,edad,14 a 19,NA,38.42,0.657,14451
2016,3,SUBUTIL,tradicional,edad,14 a 19,NA,36.07,0.648,14767
2016,4,SUBUTIL,tradicional,edad,14 a 19,NA,36.29,0.662,14262
2017,1,SUBUTIL,tradicional,edad,14 a 19,NA,36.6,0.672,13794
2017,2,SUBUTIL,tradicional,edad,14 a 19,NA,36.46,0.659,14307
2017,3,SUBUTIL,tradicional,edad,14 a 19,NA,35.21,0.674,14152
2017,4,SUBUTIL,tradicional,edad,14 a 19,NA,34.81,0.66,14433
2018,1,SUBUTIL,tradicional,edad,14 a 19,NA,35.23,0.685,13858
2018,2,SUBUTIL,tradicional,edad,14 a 19,NA,35.83,0.646,14318
2018,3,SUBUTIL,tradicional,edad,14 a 19,NA,34.8,0.67,14349
2018,4,SUBUTIL,tradicional,edad,14 a 19,NA,35.7,0.646,14463
2019,1,SUBUTIL,tradicional,edad,14 a 19,NA,35.02,0.66,14431
2019,2,SUBUTIL,tradicional,edad,14 a 19,NA,36.05,0.621,15177
2019,3,SUBUTIL,tradicional,edad,14 a 19,NA,36.07,0.641,15362
2019,4,SUBUTIL,tradicional,edad,14 a 19,NA,36.84,0.642,14810
2020,1,SUBUTIL,tradicional,edad,14 a 19,NA,36.74,0.692,14436
2020,3,SUBUTIL,enoen,edad,14 a 19,NA,44.57,1.034,9893
2020,4,SUBUTIL,enoen,edad,14 a 19,NA,40.85,0.857,11841
2021,1,SUBUTIL,enoen,edad,14 a 19,NA,41.21,0.898,11314
2021,2,SUBUTIL,enoen,edad,14 a 19,NA,38.83,0.819,13158
2021,3,SUBUTIL,enoen,edad,14 a 19,NA,36.33,0.634,15391
2021,4,SUBUTIL,enoen,edad,14 a 19,NA,35.87,0.659,15045
2022,1,SUBUTIL,enoen,edad,14 a 19,NA,35.54,0.706,13121
2022,2,SUBUTIL,enoen,edad,14 a 19,NA,36.73,0.694,13419
2022,3,SUBUTIL,enoen,edad,14 a 19,NA,33.95,0.682,13277
2022,4,SUBUTIL,enoen,edad,14 a 19,NA,32.27,0.673,13097
2023,1,SUBUTIL,enoe_2023,edad,14 a 19,NA,31.76,0.677,14324
2023,2,SUBUTIL,enoe_2023,edad,14 a 19,NA,32.98,0.683,13956
2023,3,SUBUTIL,enoe_2023,edad,14 a 19,NA,31.2,0.656,14204
2023,4,SUBUTIL,enoe_2023,edad,14 a 19,NA,32.96,0.677,13517
2024,1,SUBUTIL,enoe_2023,edad,14 a 19,NA,29.87,0.66,13078
2024,2,SUBUTIL,enoe_2023,edad,14 a 19,NA,30.42,0.738,13510
2024,3,SUBUTIL,enoe_2023,edad,14 a 19,NA,33.3,0.693,14020
2024,4,SUBUTIL,enoe_2023,edad,14 a 19,NA,33.28,0.691,13589
2025,1,SUBUTIL,enoe_2023,edad,14 a 19,NA,32.59,0.742,12781
2025,2,SUBUTIL,enoe_2023,edad,14 a 19,NA,32.67,0.744,12914
2025,3,SUBUTIL,enoe_2023,edad,14 a 19,NA,33.46,0.71,13475
2025,4,SUBUTIL,enoe_2023,edad,14 a 19,NA,33.72,0.755,12859
2026,1,SUBUTIL,enoe_2023,edad,14 a 19,NA,31.8,0.71,11858
2026,2,SUBUTIL,enoe_2023,edad,14 a 19,NA,31.78,0.717,12061
2005,1,SUBUTIL,tradicional,edad,20 a 29,NA,20.27,0.359,46933
2005,2,SUBUTIL,tradicional,edad,20 a 29,NA,18.48,0.323,47257
2005,3,SUBUTIL,tradicional,edad,20 a 29,NA,18.66,0.327,47718
2005,4,SUBUTIL,tradicional,edad,20 a 29,NA,17.39,0.301,48499
2006,1,SUBUTIL,tradicional,edad,20 a 29,NA,18.17,0.325,48658
2006,2,SUBUTIL,tradicional,edad,20 a 29,NA,16.86,0.309,48379
2006,3,SUBUTIL,tradicional,edad,20 a 29,NA,20.14,0.325,49249
2006,4,SUBUTIL,tradicional,edad,20 a 29,NA,18.97,0.311,48991
2007,1,SUBUTIL,tradicional,edad,20 a 29,NA,20.01,0.316,49118
2007,2,SUBUTIL,tradicional,edad,20 a 29,NA,18.37,0.317,48529
2007,3,SUBUTIL,tradicional,edad,20 a 29,NA,19.02,0.332,47876
2007,4,SUBUTIL,tradicional,edad,20 a 29,NA,19.21,0.323,47762
2008,1,SUBUTIL,tradicional,edad,20 a 29,NA,18.8,0.329,48249
2008,2,SUBUTIL,tradicional,edad,20 a 29,NA,18.03,0.301,48545
2008,3,SUBUTIL,tradicional,edad,20 a 29,NA,19.2,0.324,47904
2008,4,SUBUTIL,tradicional,edad,20 a 29,NA,19.61,0.331,47371
2009,1,SUBUTIL,tradicional,edad,20 a 29,NA,22.38,0.338,47462
2009,2,SUBUTIL,tradicional,edad,20 a 29,NA,24.94,0.369,47545
2009,3,SUBUTIL,tradicional,edad,20 a 29,NA,23.49,0.345,47812
2009,4,SUBUTIL,tradicional,edad,20 a 29,NA,23.48,0.337,48663
2010,1,SUBUTIL,tradicional,edad,20 a 29,NA,23.15,0.35,48405
2010,2,SUBUTIL,tradicional,edad,20 a 29,NA,22.33,0.327,48898
2010,3,SUBUTIL,tradicional,edad,20 a 29,NA,22.44,0.319,48719
2010,4,SUBUTIL,tradicional,edad,20 a 29,NA,22.1,0.343,47857
2011,1,SUBUTIL,tradicional,edad,20 a 29,NA,22.4,0.344,47916
2011,2,SUBUTIL,tradicional,edad,20 a 29,NA,22.96,0.346,48448
2011,3,SUBUTIL,tradicional,edad,20 a 29,NA,23.73,0.354,48395
2011,4,SUBUTIL,tradicional,edad,20 a 29,NA,22.32,0.333,48887
2012,1,SUBUTIL,tradicional,edad,20 a 29,NA,22.73,0.342,48251
2012,2,SUBUTIL,tradicional,edad,20 a 29,NA,22.74,0.33,48948
2012,3,SUBUTIL,tradicional,edad,20 a 29,NA,22.47,0.338,48653
2012,4,SUBUTIL,tradicional,edad,20 a 29,NA,21.92,0.336,47605
2013,1,SUBUTIL,tradicional,edad,20 a 29,NA,22.47,0.341,46704
2013,2,SUBUTIL,tradicional,edad,20 a 29,NA,22.58,0.33,47166
2013,3,SUBUTIL,tradicional,edad,20 a 29,NA,22.22,0.326,47054
2013,4,SUBUTIL,tradicional,edad,20 a 29,NA,21.68,0.32,47907
2014,1,SUBUTIL,tradicional,edad,20 a 29,NA,22.25,0.322,47295
