anio,trimestre,indicador,regimen,valor,ee,n_obs
2005,1,TCCO,tradicional,15.06,0.178,162499
2005,2,TCCO,tradicional,14.65,0.171,164852
2005,3,TCCO,tradicional,14.07,0.165,166954
2005,4,TCCO,tradicional,13.33,0.185,170012
2006,1,TCCO,tradicional,13.14,0.169,169766
2006,2,TCCO,tradicional,11.92,0.168,170456
2006,3,TCCO,tradicional,12.08,0.159,170635
2006,4,TCCO,tradicional,11.83,0.158,171164
2007,1,TCCO,tradicional,11.56,0.16,170778
2007,2,TCCO,tradicional,10.97,0.15,171553
2007,3,TCCO,tradicional,11.31,0.159,169770
2007,4,TCCO,tradicional,10.92,0.156,170666
2008,1,TCCO,tradicional,10.47,0.147,170640
2008,2,TCCO,tradicional,10.68,0.154,172087
2008,3,TCCO,tradicional,10.5,0.153,168429
2008,4,TCCO,tradicional,10.59,0.154,166075
2009,1,TCCO,tradicional,12.22,0.159,163870
2009,2,TCCO,tradicional,12.89,0.176,163618
2009,3,TCCO,tradicional,12.41,0.162,163375
2009,4,TCCO,tradicional,12.11,0.153,166013
2010,1,TCCO,tradicional,12.34,0.152,164447
2010,2,TCCO,tradicional,12.04,0.157,167900
2010,3,TCCO,tradicional,11.59,0.154,165883
2010,4,TCCO,tradicional,11.96,0.159,162020
2011,1,TCCO,tradicional,11.98,0.164,162184
2011,2,TCCO,tradicional,11.12,0.152,163948
2011,3,TCCO,tradicional,11.18,0.153,163965
2011,4,TCCO,tradicional,10.97,0.154,167141
2012,1,TCCO,tradicional,12.15,0.159,165535
2012,2,TCCO,tradicional,11.65,0.158,168445
2012,3,TCCO,tradicional,11.9,0.155,167371
2012,4,TCCO,tradicional,11.64,0.161,163221
2013,1,TCCO,tradicional,11.8,0.159,161887
2013,2,TCCO,tradicional,12.05,0.162,164543
2013,3,TCCO,tradicional,12.17,0.159,164005
2013,4,TCCO,tradicional,11.93,0.155,168486
2014,1,TCCO,tradicional,11.71,0.155,166166
2014,2,TCCO,tradicional,11.45,0.155,167875
2014,3,TCCO,tradicional,11.74,0.154,167705
2014,4,TCCO,tradicional,12.05,0.161,168790
