anio,trimestre,indicador,tipo,valor
2005,1,TCCO,desestacionalizada,15.28
2005,2,TCCO,desestacionalizada,14.7
2005,3,TCCO,desestacionalizada,13.98
2005,4,TCCO,desestacionalizada,13.35
2006,1,TCCO,desestacionalizada,13.02
2006,2,TCCO,desestacionalizada,12.2
2006,3,TCCO,desestacionalizada,12.01
2006,4,TCCO,desestacionalizada,11.86
2007,1,TCCO,desestacionalizada,11.44
2007,2,TCCO,desestacionalizada,11.18
2007,3,TCCO,desestacionalizada,11.27
2007,4,TCCO,desestacionalizada,10.94
2008,1,TCCO,desestacionalizada,10.57
2008,2,TCCO,desestacionalizada,10.61
2008,3,TCCO,desestacionalizada,10.51
2008,4,TCCO,desestacionalizada,10.61
2009,1,TCCO,desestacionalizada,12.02
2009,2,TCCO,desestacionalizada,13.03
2009,3,TCCO,desestacionalizada,12.41
2009,4,TCCO,desestacionalizada,12.15
2010,1,TCCO,desestacionalizada,12.17
2010,2,TCCO,desestacionalizada,12.08
2010,3,TCCO,desestacionalizada,11.61
2010,4,TCCO,desestacionalizada,12.01
2011,1,TCCO,desestacionalizada,11.69
2011,2,TCCO,desestacionalizada,11.22
2011,3,TCCO,desestacionalizada,11.18
2011,4,TCCO,desestacionalizada,11.03
2012,1,TCCO,desestacionalizada,11.84
2012,2,TCCO,desestacionalizada,11.76
2012,3,TCCO,desestacionalizada,11.88
2012,4,TCCO,desestacionalizada,11.75
2013,1,TCCO,desestacionalizada,11.74
2013,2,TCCO,desestacionalizada,11.87
2013,3,TCCO,desestacionalizada,12.13
2013,4,TCCO,desestacionalizada,12.06
2014,1,TCCO,desestacionalizada,11.33
2014,2,TCCO,desestacionalizada,11.49
2014,3,TCCO,desestacionalizada,11.74
2014,4,TCCO,desestacionalizada,12.23
2015,1,TCCO,desestacionalizada,11.75
2015,2,TCCO,desestacionalizada,12.2
2015,3,TCCO,desestacionalizada,12.69
2015,4,TCCO,desestacionalizada,13.06
2016,1,TCCO,desestacionalizada,13.66
2016,2,TCCO,desestacionalizada,14.17
2016,3,TCCO,desestacionalizada,13.64
2016,4,TCCO,desestacionalizada,13.43
2017,1,TCCO,desestacionalizada,13.71
2017,2,TCCO,desestacionalizada,13.21
2017,3,TCCO,desestacionalizada,13.47
2017,4,TCCO,desestacionalizada,14.82
2018,1,TCCO,desestacionalizada,14.96
2018,2,TCCO,desestacionalizada,14.93
2018,3,TCCO,desestacionalizada,15.68
2018,4,TCCO,desestacionalizada,15.88
2019,1,TCCO,desestacionalizada,17.78
2019,2,TCCO,desestacionalizada,18.72
2019,3,TCCO,desestacionalizada,19.27
2019,4,TCCO,desestacionalizada,19.59
2020,1,TCCO,desestacionalizada,21.11
2020,3,TCCO,desestacionalizada,24.12
2020,4,TCCO,desestacionalizada,24.59
2021,1,TCCO,desestacionalizada,24.41
2021,2,TCCO,desestacionalizada,25.24
2021,3,TCCO,desestacionalizada,24.85
2021,4,TCCO,desestacionalizada,25.23
2022,1,TCCO,desestacionalizada,29.92
2022,2,TCCO,desestacionalizada,30.11
2022,3,TCCO,desestacionalizada,30.24
2022,4,TCCO,desestacionalizada,30.51
2023,1,TCCO,desestacionalizada,31.28
2023,2,TCCO,desestacionalizada,30.86
2023,3,TCCO,desestacionalizada,30.62
2023,4,TCCO,desestacionalizada,31.17
2024,1,TCCO,desestacionalizada,33.05
2024,2,TCCO,desestacionalizada,32.38
2024,3,TCCO,desestacionalizada,33.02
2024,4,TCCO,desestacionalizada,32.4
2025,1,TCCO,desestacionalizada,31.73
2025,2,TCCO,desestacionalizada,32.31
2025,3,TCCO,desestacionalizada,33.85
2025,4,TCCO,desestacionalizada,35.56
2026,1,TCCO,desestacionalizada,36.58
2026,2,TCCO,desestacionalizada,37.79
2005,1,TCCO,tendencia_ciclo,15.31
2005,2,TCCO,tendencia_ciclo,14.66
2005,3,TCCO,tendencia_ciclo,13.98
2005,4,TCCO,tendencia_ciclo,13.42
2006,1,TCCO,tendencia_ciclo,12.88
2006,2,TCCO,tendencia_ciclo,12.32
2006,3,TCCO,tendencia_ciclo,11.99
2006,4,TCCO,tendencia_ciclo,11.81
2007,1,TCCO,tendencia_ciclo,11.46
2007,2,TCCO,tendencia_ciclo,11.25
2007,3,TCCO,tendencia_ciclo,11.18
2007,4,TCCO,tendencia_ciclo,10.93
2008,1,TCCO,tendencia_ciclo,10.65
2008,2,TCCO,tendencia_ciclo,10.55
2008,3,TCCO,tendencia_ciclo,10.55
2008,4,TCCO,tendencia_ciclo,10.57
2009,1,TCCO,tendencia_ciclo,12.35
2009,2,TCCO,tendencia_ciclo,12.5
2009,3,TCCO,tendencia_ciclo,12.41
2009,4,TCCO,tendencia_ciclo,12.21
2010,1,TCCO,tendencia_ciclo,12.16
2010,2,TCCO,tendencia_ciclo,11.98
2010,3,TCCO,tendencia_ciclo,11.83
2010,4,TCCO,tendencia_ciclo,11.86
2011,1,TCCO,tendencia_ciclo,11.69
2011,2,TCCO,tendencia_ciclo,11.29
2011,3,TCCO,tendencia_ciclo,11.09
2011,4,TCCO,tendencia_ciclo,11.28
2012,1,TCCO,tendencia_ciclo,11.62
2012,2,TCCO,tendencia_ciclo,11.85
2012,3,TCCO,tendencia_ciclo,11.82
2012,4,TCCO,tendencia_ciclo,11.77
2013,1,TCCO,tendencia_ciclo,11.74
2013,2,TCCO,tendencia_ciclo,11.9
2013,3,TCCO,tendencia_ciclo,12.11
2013,4,TCCO,tendencia_ciclo,11.96
2014,1,TCCO,tendencia_ciclo,11.57
2014,2,TCCO,tendencia_ciclo,11.47
2014,3,TCCO,tendencia_ciclo,11.74
2014,4,TCCO,tendencia_ciclo,11.83
2015,1,TCCO,tendencia_ciclo,11.87
2015,2,TCCO,tendencia_ciclo,12.17
2015,3,TCCO,tendencia_ciclo,12.65
2015,4,TCCO,tendencia_ciclo,13.11
2016,1,TCCO,tendencia_ciclo,13.7
2016,2,TCCO,tendencia_ciclo,14
2016,3,TCCO,tendencia_ciclo,13.73
2016,4,TCCO,tendencia_ciclo,13.52
2017,1,TCCO,tendencia_ciclo,13.46
