"cve_ent","n_muestra","viviendas_millones","mascota","mascota_ee","perro","perro_ee","gato","gato_ee","perros_millones","gatos_millones","activos","pct_rural"
1,1024,0.419,63.27,1.68,53.79,1.63,14.49,1.06,0.43,0.14,5.27,29.8
2,1029,1.231,69.66,1.4,60.63,1.6,21.12,1.34,1.57,0.52,5.53,12
3,975,0.284,64.66,1.52,56.2,1.52,23.82,1.3,0.34,0.15,5.08,16.9
4,1039,0.272,71.83,1.44,64.93,1.7,26.81,1.7,0.38,0.16,4.33,44.1
5,1025,1.023,64.6,1.73,55.51,1.79,19.1,1.44,1.06,0.46,5.26,12.3
6,1046,0.237,65.98,1.68,52.41,1.79,21.81,1.5,0.23,0.11,5.05,21.8
7,1046,1.527,62.31,1.82,52.68,1.95,24.33,1.59,1.46,0.54,3.01,62.8
8,1021,1.243,68.29,1.54,60.03,1.86,20.24,1.26,1.4,0.57,5.31,16.2
9,989,3.282,55.99,1.57,43.56,1.65,18.38,1.23,2.37,1.24,5.46,0.5
10,1038,0.529,66.05,1.62,56.93,1.72,22.96,1.49,0.56,0.23,4.54,35.8
11,1034,1.719,71.17,1.57,61,1.8,20.9,1.26,2.23,0.71,4.67,34.9
12,1021,1.054,68.23,1.68,56.07,2.18,30.64,1.42,1.16,0.67,3.39,51.9
13,1057,0.996,73,2.03,61.93,2.29,29.53,1.93,1.38,0.65,4.24,65.3
14,981,2.66,61.64,2.01,47.94,2.07,18.35,1.53,2.26,1.01,5.3,25.9
15,1039,5.041,69.29,1.37,58.29,1.42,28.05,1.37,5.77,2.86,4.57,26.7
16,977,1.417,69.45,1.89,56.48,1.96,30.12,1.92,1.59,0.86,4.42,44.1
17,1037,0.624,69.75,1.58,58.05,1.61,30.04,1.75,0.69,0.43,4.36,36.8
18,1065,0.395,64.05,1.76,53.08,1.88,20.71,1.5,0.36,0.14,4.38,43.3
19,1027,1.79,61.81,1.7,50.64,1.72,16.59,1.13,1.53,0.58,5.65,5.8
20,1084,1.201,72.94,1.97,62.62,2.33,31.13,1.9,1.55,0.68,3.21,63.6
21,1030,1.804,72.52,1.93,61.91,2.13,32.56,2.13,2.22,1.22,3.84,46.3
22,1007,0.785,66.89,1.57,55.52,1.76,21.41,1.74,0.8,0.36,5.14,34.4
23,1026,0.608,59.34,1.54,48.21,1.67,23.98,1.54,0.56,0.29,4.76,12.8
24,1033,0.854,71.71,1.65,61.29,1.87,27.12,1.48,1.07,0.48,4.66,41.1
25,960,0.952,61.32,1.87,50.29,1.87,19.93,1.27,0.83,0.41,5.01,32.1
26,1015,0.938,66.44,1.91,56.96,2.06,24.05,1.37,1.02,0.55,4.92,19.5
27,1057,0.768,58.83,1.72,50.48,1.71,21.11,2.17,0.76,0.27,4.23,69.7
28,1035,1.101,65.03,1.69,54.82,1.69,23.77,1.35,1.13,0.56,5.21,11.8
29,1067,0.408,72.99,1.55,63.39,1.57,32.68,1.47,0.5,0.26,3.91,55.7
30,1024,2.59,68.55,1.63,56.85,1.74,28.5,2.14,2.61,1.4,4.07,49
31,1035,0.689,71.64,1.31,62.9,1.56,26.8,1.31,0.87,0.41,4.73,30
32,1065,0.49,68.07,1.77,56.14,1.81,27.61,1.6,0.54,0.26,4.72,46.9
