cvegeo,entidad,municipio,aguinaldo,vacaciones,servicio_medico,incap_sueldo,sar_afore,credito_vivienda,utilidades,p_aguinaldo,p_vacaciones,p_servicio_medico,p_incap_sueldo,p_sar_afore,p_credito_vivienda,p_utilidades
01001,Aguascalientes,Aguascalientes,0.79,0.758,0.752,0.718,0.705,0.702,0.554,1,1,1,1,1,1,1
01002,Aguascalientes,Asientos,0.47,0.408,0.437,0.362,0.359,0.322,0.326,1,1,1,1,1,1,1
01003,Aguascalientes,Calvillo,0.442,0.312,0.264,0.236,0.204,0.172,0.164,1,1,1,1,1,1,1
01004,Aguascalientes,Cosío,0.646,0.596,0.613,0.571,0.534,0.489,0.444,1,1,1,1,1,1,1
01005,Aguascalientes,Jesús María,0.741,0.686,0.666,0.625,0.617,0.612,0.495,1,1,1,1,1,1,1
01006,Aguascalientes,Pabellón de Arteaga,0.706,0.64,0.638,0.588,0.563,0.539,0.394,1,1,1,1,1,1,1
01007,Aguascalientes,Rincón de Romos,0.619,0.55,0.557,0.503,0.483,0.471,0.345,1,1,1,1,1,1,1
01008,Aguascalientes,San José de Gracia,0.474,0.395,0.382,0.366,0.305,0.284,0.174,1,1,1,1,1,1,1
01009,Aguascalientes,Tepezalá,0.59,0.504,0.506,0.438,0.396,0.347,0.332,1,1,1,1,1,1,1
01010,Aguascalientes,El Llano,0.526,0.484,0.502,0.427,0.399,0.36,0.319,1,1,1,1,1,1,1
01011,Aguascalientes,San Francisco de los Romo,0.757,0.72,0.732,0.643,0.656,0.655,0.509,1,1,1,1,1,1,1
02001,Baja California,Ensenada,0.697,0.662,0.641,0.629,0.597,0.577,0.542,1,1,1,1,1,1,1
02002,Baja California,Mexicali,0.817,0.789,0.777,0.751,0.722,0.707,0.635,1,1,1,1,1,1,1
02003,Baja California,Tecate,0.734,0.715,0.692,0.67,0.634,0.611,0.61,1,1,1,1,1,1,1
02004,Baja California,Tijuana,0.753,0.751,0.73,0.718,0.698,0.685,0.677,1,1,1,1,1,1,1
02005,Baja California,Playas de Rosarito,0.625,0.605,0.539,0.537,0.508,0.488,0.481,1,1,1,1,1,1,1
02006,Baja California,San Quintín,0.608,0.47,0.544,0.412,0.371,0.288,0.416,1,1,1,1,1,1,1
02007,Baja California,San Felipe,0.499,0.451,0.42,0.383,0.306,0.318,0.244,1,1,1,1,1,1,1
03001,Baja California Sur,Comondú,0.659,0.584,0.596,0.549,0.534,0.524,0.43,1,1,1,1,1,1,1
03002,Baja California Sur,Mulegé,0.685,0.577,0.669,0.571,0.596,0.569,0.427,1,1,1,1,1,1,1
03003,Baja California Sur,La Paz,0.775,0.739,0.735,0.706,0.691,0.678,0.451,1,1,1,1,1,1,1
03008,Baja California Sur,Los Cabos,0.753,0.727,0.747,0.679,0.674,0.652,0.588,1,1,1,1,1,1,1
03009,Baja California Sur,Loreto,0.692,0.652,0.657,0.617,0.601,0.568,0.453,1,1,1,1,1,1,1
04001,Campeche,Calkiní,0.609,0.519,0.515,0.483,0.448,0.403,0.282,1,1,1,1,1,1,1
04002,Campeche,Campeche,0.73,0.659,0.64,0.594,0.58,0.571,0.389,1,1,1,1,1,1,1
04003,Campeche,Carmen,0.674,0.598,0.591,0.503,0.529,0.486,0.436,1,1,1,1,1,1,1
04004,Campeche,Champotón,0.404,0.323,0.321,0.28,0.272,0.231,0.196,1,1,1,1,1,1,1
04005,Campeche,Hecelchakán,0.628,0.517,0.527,0.469,0.469,0.406,0.254,1,1,1,1,1,1,1
04006,Campeche,Hopelchén,0.4,0.303,0.305,0.254,0.248,0.21,0.175,1,1,1,1,1,1,1
04007,Campeche,Palizada,0.537,0.399,0.307,0.257,0.236,0.135,0.169,1,1,1,1,1,1,1
04008,Campeche,Tenabo,0.542,0.418,0.443,0.362,0.39,0.321,0.243,1,1,1,1,1,1,1
04009,Campeche,Escárcega,0.405,0.298,0.302,0.24,0.253,0.219,0.187,1,1,1,1,1,1,1
04010,Campeche,Calakmul,0.281,0.2,0.206,0.161,0.144,0.094,0.071,1,1,1,1,1,1,1
04011,Campeche,Candelaria,0.259,0.162,0.133,0.105,0.104,0.066,0.06,1,1,1,1,1,1,1
04012,Campeche,Seybaplaya,0.481,0.364,0.395,0.321,0.335,0.299,0.197,1,1,1,1,1,1,1
04013,Campeche,Dzitbalché,0.573,0.426,0.407,0.369,0.362,0.308,0.258,1,1,1,1,1,1,1
05001,Coahuila de Zaragoza,Abasolo,0.556,0.35,0.23,0.261,0.128,0.121,0.156,1,1,1,1,0,0,1
05002,Coahuila de Zaragoza,Acuña,0.804,0.794,0.787,0.753,0.751,0.745,0.738,1,1,1,1,1,1,1
05003,Coahuila de Zaragoza,Allende,0.7,0.668,0.684,0.624,0.597,0.572,0.58,1,1,1,1,1,1,1
05004,Coahuila de Zaragoza,Arteaga,0.763,0.73,0.725,0.694,0.669,0.662,0.541,1,1,1,1,1,1,1
05005,Coahuila de Zaragoza,Candela,0.573,0.49,0.362,0.279,0.171,0.144,0.146,1,1,1,1,0,0,0
05006,Coahuila de Zaragoza,Castaños,0.759,0.748,0.762,0.705,0.7,0.696,0.664,1,1,1,1,1,1,1
