anio,trimestre,indicador,oficial,pipeline,diferencia_pp,nota_clave
2005,1,TCCO,15.14,15.06,0.078,
2005,1,TD,3.85,3.85,0.004,
2005,1,TIL1,59.28,59.12,0.162,
2005,1,TIL2,53.73,53.72,0.014,
2005,1,TOSI1,27.96,28.03,0.065,
2005,1,TOSI2,32.92,32.85,0.072,
2005,1,TPEA,58.92,58.98,0.062,
2005,1,TSUB,8.92,8.88,0.038,
2005,2,TCCO,14.69,14.65,0.044,
2005,2,TD,3.47,3.48,0.008,
2005,2,TIL1,59.54,59.38,0.165,
2005,2,TIL2,54.01,53.99,0.021,
2005,2,TOSI1,28.08,28.15,0.069,
2005,2,TOSI2,33.04,32.98,0.062,
2005,2,TPEA,58.83,58.88,0.047,
2005,2,TSUB,7.55,7.51,0.038,
2005,3,TCCO,14.11,14.07,0.038,
2005,3,TD,3.77,3.78,0.012,
2005,3,TIL1,59.9,59.72,0.177,
2005,3,TIL2,54,53.97,0.033,
2005,3,TOSI1,27.91,27.97,0.063,
2005,3,TOSI2,33.04,32.98,0.061,
2005,3,TPEA,59.69,59.74,0.054,
2005,3,TSUB,7.31,7.28,0.029,
2005,4,TCCO,13.35,13.33,0.025,
2005,4,TD,3.11,3.12,0.007,
2005,4,TIL1,59.69,59.56,0.13,
2005,4,TIL2,54.07,54.07,0.004,
2005,4,TOSI1,28.27,28.34,0.071,
2005,4,TOSI2,33.22,33.18,0.038,
2005,4,TPEA,59.65,59.7,0.05,
2005,4,TSUB,6.36,6.36,0.004,
2006,1,TCCO,13.18,13.14,0.036,
2006,1,TD,3.53,3.53,0.005,
2006,1,TIL1,58.71,58.58,0.129,
2006,1,TIL2,53.39,53.38,0.012,
2006,1,TOSI1,27.64,27.7,0.065,
2006,1,TOSI2,32.24,32.21,0.026,
2006,1,TPEA,59.59,59.64,0.054,
2006,1,TSUB,6.23,6.2,0.025,
2006,2,TCCO,11.95,11.92,0.033,
2006,2,TD,3.13,3.14,0.006,
2006,2,TIL1,59.21,59.08,0.127,
2006,2,TIL2,53.72,53.69,0.027,
2006,2,TOSI1,27.25,27.3,0.053,
2006,2,TOSI2,31.87,31.83,0.036,
2006,2,TPEA,59.78,59.83,0.05,
2006,2,TSUB,6.06,6.03,0.025,
2006,3,TCCO,12.1,12.08,0.02,
2006,3,TD,3.98,3.99,0.006,
2006,3,TIL1,58.14,58.06,0.085,
2006,3,TIL2,52.56,52.57,0.012,
2006,3,TOSI1,26.75,26.83,0.079,
